REGION,SEED,TEAM,FIRST FOUR,ROUND OF 32,ROUND OF 16,ELITE 8,FINAL 4,FINALS,CHAMPIONS
West,1,Gonzaga,,0.982,0.732,0.524,0.334,0.13,0.056
West,2,Ohio State,,0.938,0.722,0.453,0.236,0.108,0.054
West,3,New Mexico,,0.874,0.497,0.223,0.093,0.025,0.008
West,4,Kansas State,,0.762,0.368,0.116,0.048,0.013,0.004
West,5,Wisconsin,,0.756,0.475,0.19,0.095,0.034,0.014
West,6,Arizona,,0.717,0.381,0.182,0.081,0.02,0.006
West,7,Notre Dame,,0.6,0.173,0.073,0.024,0.007,0.002
West,8,Pittsburgh,,0.621,0.186,0.101,0.047,0.017,0.007
West,9,Wichita State,,0.379,0.081,0.035,0.013,0.003,<0.1
West,10,Iowa State,,0.4,0.088,0.035,0.011,0.003,<0.1
West,11,Belmont,,0.283,0.097,0.027,0.007,0.002,<0.1
West,12,Mississippi,,0.244,0.095,0.02,0.006,0.001,<0.1
West,13,La Salle,0.515,0.113,0.027,0.005,0.001,<0.1,<0.1
West,13,Boise State,0.485,0.126,0.035,0.009,0.003,<0.1,<0.1
West,14,Harvard,,0.126,0.025,0.004,<0.1,<0.1,<0.1
West,15,Iona,,0.062,0.016,0.003,<0.1,<0.1,<0.1
West,16,Southern University,,0.018,0.002,<0.1,<0.1,<0.1,<0.1
South,1,Kansas,,0.982,0.816,0.551,0.317,0.165,0.079
South,2,Georgetown,,0.897,0.67,0.201,0.069,0.026,0.009
South,3,Florida,,0.948,0.786,0.617,0.371,0.23,0.132
South,4,Michigan,,0.902,0.651,0.273,0.127,0.059,0.025
South,5,Virginia Commonwealth,,0.711,0.26,0.085,0.032,0.013,0.005
South,6,UCLA,,0.381,0.059,0.024,0.006,0.001,<0.1
South,7,San Diego State,,0.561,0.177,0.047,0.014,0.004,0.001
South,8,North Carolina,,0.67,0.142,0.064,0.024,0.01,0.004
South,9,Villanova,,0.33,0.04,0.012,0.003,<0.1,<0.1
South,10,Oklahoma,,0.439,0.119,0.031,0.009,0.002,<0.1
South,11,Minnesota,,0.619,0.139,0.072,0.024,0.008,0.002
South,12,Akron,,0.289,0.061,0.01,0.002,<0.1,<0.1
South,13,South Dakota State,,0.098,0.028,0.004,<0.1,<0.1,<0.1
South,14,Northwestern State,,0.052,0.016,0.004,<0.1,<0.1,<0.1
South,15,Florida Gulf Coast,,0.103,0.033,0.004,<0.1,<0.1,<0.1
South,16,Western Kentucky,,0.018,0.003,<0.1,<0.1,<0.1,<0.1
Midwest,1,Louisville,,0.995,0.854,0.731,0.529,0.385,0.238
Midwest,2,Duke,,0.946,0.696,0.436,0.183,0.116,0.06
Midwest,3,Michigan State,,0.83,0.582,0.285,0.106,0.055,0.023
Midwest,4,Saint Louis,,0.762,0.426,0.105,0.046,0.021,0.008
Midwest,5,Oklahoma State,,0.605,0.324,0.061,0.022,0.009,0.003
Midwest,6,Memphis,,0.583,0.222,0.083,0.023,0.011,0.004
Midwest,7,Creighton,,0.585,0.186,0.091,0.028,0.013,0.005
Midwest,8,Colorado State,,0.366,0.038,0.019,0.006,0.002,<0.1
Midwest,9,Missouri,,0.634,0.107,0.065,0.028,0.013,0.005
Midwest,10,Cincinnati,,0.415,0.107,0.047,0.013,0.005,0.002
Midwest,11,Saint Mary's,0.441,0.177,0.054,0.015,0.003,0.001,<0.1
Midwest,12,Oregon,,0.395,0.175,0.014,0.003,<0.1,<0.1
Midwest,13,New Mexico State,,0.238,0.075,0.005,<0.1,<0.1,<0.1
Midwest,14,Valparaiso,,0.17,0.063,0.015,0.003,<0.1,<0.1
Midwest,15,Albany,,0.054,0.011,0.002,<0.1,<0.1,<0.1
Midwest,16,North Carolina A&T,0.473,0.003,<0.1,<0.1,<0.1,<0.1,<0.1
East,1,Indiana,,0.985,0.835,0.654,0.523,0.317,0.184
East,2,Miami (FL),,0.899,0.616,0.377,0.126,0.049,0.018
East,3,Marquette,,0.655,0.396,0.208,0.06,0.019,0.006
East,4,Syracuse,,0.874,0.486,0.176,0.117,0.047,0.018
East,5,UNLV,,0.672,0.362,0.066,0.03,0.008,0.002
East,6,Butler,,0.627,0.304,0.136,0.032,0.008,0.002
East,7,Illinois,,0.504,0.182,0.08,0.017,0.004,0.001
East,8,North Carolina State,,0.701,0.134,0.078,0.047,0.017,0.006
East,9,Temple,,0.299,0.028,0.012,0.006,0.001,<0.1
East,10,Colorado,,0.496,0.177,0.068,0.012,0.002,<0.1
East,11,Bucknell,,0.373,0.139,0.06,0.013,0.003,<0.1
East,12,California,,0.328,0.128,0.012,0.004,<0.1,<0.1
East,13,Montana,,0.126,0.024,0.001,<0.1,<0.1,<0.1
East,14,Davidson,,0.345,0.16,0.066,0.014,0.003,<0.1
East,15,Pacific,,0.101,0.026,0.005,<0.1,<0.1,<0.1
East,16,Long Island,0.494,0.007,0.001,<0.1,<0.1,<0.1,<0.1
East,16,James Madison,0.506,0.008,0.001,<0.1,<0.1,<0.1,<0.1
