TEAM	REGION	SEED	ELO	COMPOSITE	FINAL 4	CHAMPS
Villanova	East	1	2142	95.2	40.2%	15.0%
Gonzaga	West	1	2029	93.7	41.5	13.8
Kansas	Midwest	1	2058	92.2	38.0	10.4
Kentucky	South	2	2054	92.3	30.2	8.2
North Carolina	South	1	2030	91.7	29.9	7.0
Duke	East	2	2044	92.3	23.7	6.7
Louisville	Midwest	2	1978	90.8	21.6	5.0
Arizona	West	2	2038	89.0	16.1	4.4
West Virginia	West	4	1966	90.8	14.7	3.5
UCLA	South	3	1965	88.0	9.8	2.5
Virginia	East	5	1924	90.0	9.6	2.5
Saint Mary's (CA)	West	7	1888	87.4	11.8	2.1
Purdue	Midwest	4	1932	88.6	10.6	2.0
Wichita State	South	10	1972	88.9	8.4	2.0
Southern Methodist	East	6	2019	88.4	7.2	1.7
Iowa State	Midwest	5	1959	87.9	9.0	1.7
Baylor	East	3	1925	87.7	6.4	1.4
Oregon	Midwest	3	2026	87.3	6.6	1.2
Butler	South	4	1892	86.5	8.6	1.1
Florida	East	4	1946	87.8	5.7	1.1
Florida State	West	3	1897	87.2	7.0	1.0
Cincinnati	South	6	1903	87.4	5.3	0.9
Wisconsin	East	8	1874	87.8	4.4	0.9
Michigan	Midwest	7	1968	86.9	5.0	0.8
Notre Dame	West	5	1932	86.7	3.9	0.6
Creighton	Midwest	6	1887	84.4	2.8	0.4
Oklahoma State	Midwest	10	1863	84.7	2.0	0.3
Miami (FL)	Midwest	8	1867	84.6	1.6	0.2
Arkansas	South	8	1827	83.2	1.7	0.2
Vanderbilt	West	9	1816	83.8	1.3	0.1
Rhode Island	Midwest	11	1847	84.0	1.3	0.1
Kansas State	South	11	1745	83.1	0.8	0.1
South Carolina	East	7	1745	83.1	1.1	0.1
Seton Hall	South	9	1864	83.0	1.2	0.1
Dayton	South	7	1800	82.8	1.1	0.1
Marquette	East	10	1830	83.0	0.9	0.1
Michigan State	Midwest	9	1791	82.8	1.0	<0.1
Xavier	West	11	1773	82.3	0.9	<0.1
Virginia Commonwealth	West	10	1823	82.9	0.9	<0.1
Middle Tennessee	South	12	1816	81.3	1.2	<0.1
Maryland	West	6	1754	82.5	0.9	<0.1
Northwestern	West	8	1764	82.6	0.8	<0.1
Minnesota	South	5	1827	81.2	1.0	<0.1
Providence	East	11	1805	81.8	0.3	<0.1
Southern California	East	11	1764	81.2	0.2	<0.1
Nevada	Midwest	12	1827	80.7	0.2	<0.1
Princeton	West	12	1824	80.0	0.2	<0.1
North Carolina-Wilmington	East	12	1798	80.2	0.2	<0.1
Virginia Tech	East	9	1822	80.0	0.1	<0.1
Vermont	Midwest	13	1786	79.5	0.1	<0.1
Bucknell	West	13	1679	77.9	0.1	<0.1
East Tennessee State	East	13	1721	78.1	0.1	<0.1
Winthrop	South	13	1664	75.5	0.1	<0.1
Florida Gulf Coast	West	14	1619	75.8	<0.1	<0.1
New Mexico State	East	14	1630	75.6	<0.1	<0.1
Iona	Midwest	14	1608	75.5	<0.1	<0.1
Kent State	South	14	1625	74.3	<0.1	<0.1
Troy	East	15	1643	73.3	<0.1	<0.1
Northern Kentucky	South	15	1614	72.8	<0.1	<0.1
South Dakota State	West	16	1624	72.8	<0.1	<0.1
North Dakota	West	15	1591	72.3	<0.1	<0.1
Texas Southern	South	16	1502	71.0	<0.1	<0.1
Jacksonville State	Midwest	15	1548	71.2	<0.1	<0.1
North Carolina Central	Midwest	16	1513	71.0	<0.1	<0.1
UC-Davis	Midwest	16	1528	69.9	<0.1	<0.1
Mount St. Mary's	East	16	1454	69.8	<0.1	<0.1
